k,Energy,Fidelity
0,0,0.5
1,-0.183830834776,0.591915417388
2,-0.359745835989,0.679872917994
3,-0.516782108299,0.758391054149
4,-0.647885716945,0.823942858472
5,-0.750947003289,0.875473501644
6,-0.827970993002,0.913985496501
7,-0.883282061871,0.941641030935
8,-0.921828322807,0.960914161404
9,-0.948117486239,0.97405874312
10,-0.965778787544,0.982889393772
11,-0.977522228983,0.988761114491
12,-0.985276833905,0.992638416953
13,-0.990373922258,0.995186961129
14,-0.993714042862,0.996857021431
15,-0.99589844495,0.997949222475
